bin,x_min,x_max,mean_x,mean_shap,mean_abs_shap,positive_ratio,negative_ratio,variable,bin_order,sign_by_bin,overall_sign
"(0.37, 1.13]",0.3700000000000045,1.1299999999999957,0.7255183246073299,-0.026636456806304772,0.042080617485234215,0.27225130890052357,0.7277486910994765,oil_diff_lag1,4,-,+
"(1.13, 45.89]",1.1300000000000026,45.89,2.243989583333333,-0.11685565511143042,0.20646898875435601,0.16979166666666667,0.8302083333333333,oil_diff_lag1,5,-,+
"(-17049.001, -3859.0]",-17049.0,-3859.0,-6336.115145228216,0.0702536179942801,0.10745321450903718,0.7375518672199171,0.262448132780083,OilInventories,1,+,-
"(-3859.0, -1056.0]",-3832.0,-1056.0,-2370.6377870563674,0.02465634277167443,0.048495798943716445,0.7108559498956158,0.28914405010438415,OilInventories,2,+,-
"(-1056.0, 1383.4]",-1047.0,1379.0,231.56530825496344,0.027290987239084977,0.09587231768048711,0.6102403343782654,0.3897596656217346,OilInventories,3,+,-
"(1383.4, 3733.6]",1401.0,3730.0,2471.429614181439,-0.10811407166656195,0.11349310052431295,0.06047966631908238,0.9395203336809176,OilInventories,4,-,-
"(3733.6, 21563.0]",3736.0,21563.0,6817.619791666667,-0.037745997737399936,0.13968559662497643,0.290625,0.709375,OilInventories,5,-,-
"(-18.711000000000002, -0.98]",-18.71,-0.9799999999999986,-2.1707916666666667,0.11695178240968976,0.14867658371980716,0.8270833333333333,0.17291666666666666,VIX,1,+,+
"(-0.98, -0.322]",-0.9799999999999968,-0.3299999999999983,-0.6205005213764337,0.01924079617414357,0.0511006260795526,0.6381647549530761,0.3618352450469239,VIX,2,+,+
"(-0.322, 0.13]",-0.3200000000000003,0.129999999999999,-0.09787784679089032,-0.018521898596608983,0.03857684699997017,0.2598343685300207,0.7401656314699793,VIX,3,-,+
"(0.13, 0.88]",0.1300000000000007,0.879999999999999,0.44799373040752355,-0.03639705029041846,0.06027784158960735,0.22048066875653083,0.7795193312434692,VIX,4,-,+
"(0.88, 24.86]",0.8800000000000008,24.86,2.470303347280335,-0.07152980047869022,0.17032299335758952,0.32322175732217573,0.6767782426778243,VIX,5,-,+
"(-1450.501, -2.0]",-1450.5,-2.0,-84.08943005181348,-0.11551450821153167,0.21619374096539715,0.6373056994818653,0.3626943005181347,CPE,1,-,-
"(-2.0, 14.6]",-1.899999999999636,14.599999999998545,7.415107913668999,0.054110392274863035,0.06926906805565346,0.8581706063720452,0.14182939362795477,CPE,2,+,-
"(14.6, 29.4]",15.199999999998909,29.39999999999964,22.6460970464137,0.03758042519404538,0.06788118736936996,0.6729957805907173,0.3270042194092827,CPE,3,+,-
"(29.4, 53.7]",29.600000000000364,53.70000000000073,41.674327122153294,-0.012245336963419878,0.04367606210239023,0.42857142857142855,0.5714285714285714,CPE,4,-,-
"(53.7, 981.9]",54.39999999999963,981.8999999999996,136.6957716701901,0.006999897613382611,0.04693117402422726,0.5496828752642706,0.4503171247357294,CPE,5,+,-
"(-12.847, -0.366]",-12.8459,-0.3711999999999875,-1.2543938541666664,-0.009549042225273424,0.22362312381115246,0.68125,0.31875,IndustryProduction,1,-,-
"(-0.366, -0.0389]",-0.357600000000005,-0.0388999999999981,-0.21777838114754078,-0.010646869985040787,0.03606593316672705,0.4067622950819672,0.5932377049180327,IndustryProduction,2,-,-
"(-0.0389, 0.225]",-0.0083000000000055,0.2249999999999943,0.10640653526971046,0.004436502979335389,0.028932074686871503,0.5134854771784232,0.48651452282157676,IndustryProduction,3,+,-
"(0.225, 0.575]",0.2263999999999981,0.5746999999999929,0.37776246056782237,0.004562579960121582,0.028495531096784446,0.5404837013669821,0.45951629863301785,IndustryProduction,4,+,-
"(0.575, 5.633]",0.5842999999999989,5.632999999999996,1.0773401267159446,-0.004022842805144462,0.04088810286058103,0.44456177402323127,0.5554382259767687,IndustryProduction,5,-,-
"(-0.657, -0.167]",-0.6562486899999999,-0.1666404,-0.27864919337487015,-0.02866729395623435,0.11509981449772098,0.4755970924195223,0.5244029075804777,RealInterestRate,1,-,-
"(-0.167, -0.0403]",-0.1628671000000001,-0.0402974499999999,-0.09047569888205124,0.025983528305014745,0.0637504163113467,0.5138461538461538,0.48615384615384616,RealInterestRate,2,+,-
"(-0.0403, 0.0407]",-0.03683881,0.04070593,0.004053809331941543,-0.022236629071611048,0.037005510852494435,0.2640918580375783,0.7359081419624217,RealInterestRate,3,-,-
"(0.0407, 0.133]",0.0428916400000001,0.13338102,0.08344831083420225,-0.030197068429185812,0.0446182303075276,0.2064650677789364,0.7935349322210636,RealInterestRate,4,-,-
"(0.133, 0.639]",0.13743399,0.6394341899999998,0.278433601378579,0.05570919385425358,0.09537029557937927,0.6839872746553552,0.31601272534464475,RealInterestRate,5,+,-
