date,sentiment_financial,oil_relevance_financial,news_count_financial,positive_prob_financial,neutral_prob_financial,negative_prob_financial
2009-08-25,-0.9479846870526671,2.0,1,0.011168071068823338,0.029679223895072937,0.9591527581214905
2009-09-10,0.04205622524023056,2.0,1,0.06187361478805542,0.9183090329170227,0.01981738954782486
2009-09-11,-0.5537141300737858,2.0,1,0.04655822739005089,0.35316944122314453,0.6002723574638367
2009-09-14,0.9298264142125845,1.0,1,0.9445685148239136,0.04068941995501518,0.014742100611329079
2009-09-22,0.17233704030513763,2.0,1,0.18778331577777863,0.796770453453064,0.015446275472640991
2009-09-30,-0.2436507437378168,2.0,1,0.030721178278326988,0.6949068903923035,0.2743719220161438
2009-10-03,-0.4046788923442364,2.0,1,0.04430731013417244,0.5067065358161926,0.4489862024784088
2009-10-04,-0.920529643073678,1.0,1,0.020269593223929405,0.03893124312162399,0.9407992362976074
2009-10-05,-0.07606645114719868,1.0,2,0.4337754640728235,0.05638261139392853,0.5098419152200222
2009-10-06,0.8610812891274691,2.0,1,0.8798205852508545,0.10144007951021194,0.01873929612338543
2009-10-08,0.09714994579553604,3.0,1,0.12711171805858612,0.8429265022277832,0.02996177226305008
2009-10-09,0.9270382113754749,2.0,1,0.9452832341194153,0.03647167608141899,0.018245022743940353
2009-10-15,0.16122251749038696,2.0,1,0.2879907190799713,0.5852410793304443,0.12676820158958435
2009-10-20,0.0818024417385459,1.0,1,0.09255228191614151,0.8966978788375854,0.010749840177595615
2009-11-02,0.8763327561318874,1.0,1,0.9198335409164429,0.036665625870227814,0.043500784784555435
2009-11-03,0.4520442318171263,2.0,1,0.46556851267814636,0.5209071636199951,0.013524280861020088
2009-11-07,-0.6103685721755028,2.0,1,0.06953320652246475,0.2505649924278259,0.6799017786979675
2009-11-09,-0.9273519217967987,1.0,1,0.020220249891281128,0.03220754861831665,0.9475721716880798
2009-11-20,-0.5540325492620468,1.0,1,0.19382067024707794,0.05832621827721596,0.7478532195091248
2009-11-22,-0.9512168420478702,1.0,1,0.012796496041119099,0.023190131410956383,0.9640133380889893
2009-12-03,-0.9210839755833149,3.0,1,0.018551062792539597,0.04181382432579994,0.9396350383758545
2009-12-14,0.022640278562903404,1.0,1,0.044335342943668365,0.9339696168899536,0.02169506438076496
2009-12-20,0.5769589021801949,2.0,1,0.5958662629127502,0.3852263391017914,0.01890736073255539
2009-12-23,0.05424305144697428,1.0,1,0.06917958706617355,0.9158838987350464,0.014936535619199276
2010-01-02,0.3892397917807102,1.0,1,0.4069001078605652,0.5754396319389343,0.017660316079854965
2010-01-18,-0.5637899488210678,2.0,1,0.07858844101428986,0.2790331244468689,0.6423783898353577
2010-01-22,0.8245545364916325,2.0,1,0.8494846224784851,0.12558527290821075,0.024930085986852646
2010-01-24,-0.7159416060894728,2.0,1,0.02104288525879383,0.24197261035442352,0.7369844913482666
2010-01-28,-0.0412040650844574,2.0,1,0.11871828138828278,0.7213594317436218,0.15992234647274017
