date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2008-02-20,-0.8594651836901903,1.0,1,0.015596089884638786,0.10934258252382278,0.8750612735748291
2008-02-26,-0.9116091690957546,2.0,1,0.03535670414566994,0.017677390947937965,0.9469658732414246
2008-02-27,0.576360740698874,1.0,1,0.5887591242790222,0.398842453956604,0.01239838358014822
2008-03-03,0.018199946731328964,1.0,1,0.04658721759915352,0.9250255227088928,0.028387270867824554
2008-03-06,0.9311377163976431,1.0,1,0.9514964818954468,0.028144828975200653,0.020358765497803688
2008-03-07,-0.6435128673911095,2.0,1,0.06589988619089127,0.22468732297420502,0.7094127535820007
2008-03-10,-0.6002909541130066,1.0,1,0.18400144577026367,0.03170618787407875,0.7842923998832703
2008-03-12,0.07086855359375477,1.0,1,0.0866585299372673,0.8975515365600586,0.015789976343512535
2008-03-25,-0.037369415163993835,1.0,1,0.16935117542743683,0.6239282488822937,0.20672059059143066
2008-04-01,-0.022345848381519318,2.0,1,0.1006726399064064,0.7763089537620544,0.12301848828792572
2008-04-06,0.5145653579384089,1.0,1,0.5399530529975891,0.43465930223464966,0.02538769505918026
2008-04-09,-0.7862739972770214,2.0,1,0.02537592127919197,0.16297416388988495,0.8116499185562134
2008-04-16,-0.9138381704688072,2.0,1,0.022991813719272614,0.04017828404903412,0.9368299841880798
2008-04-24,-0.4673141990788281,1.5,2,0.027704161126166582,0.4772774539887905,0.4950183602049947
2008-04-25,0.8088514897972345,2.0,1,0.8281181454658508,0.1526152491569519,0.019266655668616295
2008-04-26,0.1769227460026741,2.0,1,0.24290527403354645,0.691112220287323,0.06598252803087234
2008-04-27,-0.0009847208857536316,1.0,1,0.03572015464305878,0.9275749921798706,0.03670487552881241
2008-04-28,0.8414681814610958,2.0,1,0.8982934951782227,0.04488125443458557,0.056825313717126846
2008-04-29,-0.7041501700878143,1.0,1,0.06410196423530579,0.1676458716392517,0.7682521343231201
2008-04-30,-0.8912206832319498,2.0,1,0.010785525664687157,0.08720824867486954,0.902006208896637
2008-05-02,-0.05952642858028412,2.0,1,0.08444324135780334,0.771587073802948,0.14396966993808746
2008-05-06,0.7382117239758372,2.0,1,0.7491601705551147,0.23989130556583405,0.010948446579277515
2008-05-07,-0.326841626316309,1.6666666666666667,3,0.029327893008788426,0.6145025740067164,0.3561695193250974
2008-05-09,-0.8914509452879429,2.0,1,0.03288983926177025,0.04276932775974274,0.9243407845497131
2008-05-13,-0.22075923904776573,2.5,2,0.07521713525056839,0.6288064569234848,0.2959763742983341
2008-05-14,-0.2959822149326404,1.0,3,0.03321863152086735,0.637580543756485,0.3292008464535077
2008-05-19,0.010603995993733406,2.0,1,0.03471489995718002,0.9411741495132446,0.024110903963446617
2008-05-20,-0.3861939311027527,1.0,1,0.1407405138015747,0.3323250114917755,0.5269344449043274
2008-05-21,-0.9182426333427429,2.0,1,0.021291494369506836,0.03917435184121132,0.9395341277122498
2008-05-25,-0.28678883984684944,1.0,2,0.1994778923690319,0.31425537914037704,0.48626673221588135
2008-05-27,-0.2150939330458641,2.0,1,0.07800883799791336,0.6288884282112122,0.29310277104377747
2008-05-28,-0.9527015760540962,1.0,1,0.011723391711711884,0.023851536214351654,0.9644249677658081
2008-05-29,-0.310851089656353,1.0,1,0.07597712427377701,0.5371946096420288,0.38682821393013
2008-06-02,-0.5772862173616886,1.0,1,0.037221457809209824,0.34827086329460144,0.6145076751708984
2008-06-04,0.024496929720044136,2.0,1,0.045185260474681854,0.9341263771057129,0.020688330754637718
2008-06-06,-0.031849476819237076,1.6666666666666667,3,0.30468823574483395,0.35877405665814877,0.336537712564071
2008-06-08,-0.7174500363568465,2.0,3,0.036505854378143944,0.20953825178245702,0.7539558907349905
2008-06-09,0.15604506619274616,2.0,1,0.18510235846042633,0.7858403325080872,0.029057292267680168
2008-06-11,-0.45563915371894836,1.0,1,0.08910104632377625,0.36615875363349915,0.5447402000427246
2008-06-19,-0.8601043857634068,1.5,2,0.040246691554784775,0.059402271173894405,0.9003510773181915
2008-06-20,0.9315437385812402,2.0,1,0.9409077167510986,0.04972827434539795,0.009363978169858456
2008-06-23,-0.15701695485040545,1.5,2,0.3282042075879872,0.1865746546536684,0.48522116243839264
2008-06-25,-0.4140355531126261,1.5,2,0.03150475490838289,0.5229548998177052,0.44554030802100897
2008-06-26,0.36652837693691254,1.0,1,0.6011280417442322,0.1642722487449646,0.23459966480731964
2008-06-30,-0.9454417256638408,2.0,1,0.013398227281868458,0.02776181884109974,0.9588399529457092
2008-07-02,-0.12472739815711975,2.0,1,0.38456258177757263,0.10614742338657379,0.5092899799346924
2008-07-04,0.40209751948714256,2.5,2,0.465299092233181,0.47149933129549026,0.06320157274603844
2008-07-09,0.05046391487121582,2.0,1,0.07872571051120758,0.893012523651123,0.02826179563999176
2008-07-14,0.10534232389181852,2.0,1,0.11651837080717087,0.8723056316375732,0.011176046915352345
2008-07-16,-0.16004152968525887,1.0,1,0.04271016642451286,0.7545381188392639,0.20275169610977173
2008-07-17,0.09902197495102882,2.0,1,0.11993376165628433,0.859154462814331,0.02091178670525551
2008-07-21,0.5481604430824518,1.0,1,0.579047679901123,0.39006513357162476,0.030887236818671227
2008-07-22,0.4581777900457382,2.0,1,0.6176071166992188,0.2229636013507843,0.15942932665348053
2008-07-23,-0.03410296235233545,1.0,2,0.45743047818541527,0.05103617534041405,0.4915334405377507
2008-07-24,-0.38555102050304413,1.0,1,0.18102248013019562,0.25240394473075867,0.5665735006332397
2008-07-27,0.8260291554033756,1.0,1,0.8859507441520691,0.05412764847278595,0.059921588748693466
2008-08-04,-0.01090656965970993,1.0,1,0.03821215778589249,0.9126690626144409,0.04911872744560242
2008-08-05,-0.04636425462861856,1.6666666666666667,3,0.30626231152564287,0.3411111483971278,0.3526265661542614
2008-08-14,-0.38971930369734764,2.0,2,0.07536244485527277,0.459555771201849,0.4650817485526204
2008-08-15,0.3352568782866001,2.0,2,0.5139562748372555,0.30734437704086304,0.17869939655065536
2008-08-18,0.9087765887379646,1.0,1,0.9371914863586426,0.03439361974596977,0.028414897620677948
2008-08-20,-0.9492867160588503,2.0,1,0.014958662912249565,0.02079596370458603,0.9642453789710999
2008-08-25,-0.06601846590638161,1.0,1,0.02826279029250145,0.8774559497833252,0.09428125619888306
2008-08-31,0.09898874582722783,2.0,2,0.17698728665709496,0.7450141906738281,0.07799854082986712
2008-09-01,-0.9528927551582456,1.0,1,0.01227125059813261,0.022564763203263283,0.9651640057563782
2008-09-02,0.007335394620895386,2.0,1,0.45125681161880493,0.10482178628444672,0.44392141699790955
2008-09-03,0.05141368508338928,2.0,1,0.5065042972564697,0.038405124098062515,0.45509061217308044
2008-09-07,-0.6882201358675957,2.0,1,0.05243796855211258,0.20690393447875977,0.7406581044197083
2008-09-08,0.015139490365982056,1.0,1,0.055955465883016586,0.9032285809516907,0.04081597551703453
2008-09-09,-0.3102049045264721,2.0,2,0.1048156232573092,0.4801638200879097,0.4150205277837813
2008-09-10,-0.25128953717648983,2.0,1,0.029518673196434975,0.6896730661392212,0.2808082103729248
2008-09-11,-0.8162551373243332,2.0,1,0.034070923924446106,0.115603007376194,0.8503260612487793
2008-09-18,0.5788912028074265,2.0,1,0.7668293714523315,0.04523247107863426,0.1879381686449051
2008-09-19,0.28193450067192316,1.5,2,0.4579118639230728,0.36611074954271317,0.17597736325114965
2008-09-22,0.024194687604904175,1.5,2,0.3531932719051838,0.3178081661462784,0.3289985843002796
2008-09-26,-0.08714026212692261,1.0,1,0.08482293784618378,0.7432138323783875,0.17196319997310638
2008-09-28,-0.38329452835023403,1.5,2,0.06892436742782593,0.4788566790521145,0.45221889577805996
2008-09-29,0.7294048685580492,1.0,1,0.759415864944458,0.210573211312294,0.030010996386408806
2008-09-30,-0.9322100458666682,1.0,1,0.014582556672394276,0.0386248454451561,0.9467926025390625
2008-10-01,-0.6648020558059216,2.0,1,0.038226861506700516,0.25874418020248413,0.7030289173126221
2008-10-02,0.04257121061285337,1.6666666666666667,3,0.08677083253860474,0.8690295219421387,0.044199621925751366
2008-10-06,-0.3686133399605751,1.5,2,0.0684791337698698,0.4944283962249756,0.4370924737304449
2008-10-07,-0.4189335033297539,2.0,1,0.05262494832277298,0.47581666707992554,0.47155845165252686
