date,sentiment_demand,oil_relevance_demand,news_count_demand,positive_prob_demand,neutral_prob_demand,negative_prob_demand
2008-09-18,0.5788912028074265,2.0,1,0.7668293714523315,0.04523247107863426,0.1879381686449051
2008-09-19,0.370368929579854,1.0,1,0.392884761095047,0.5845993757247925,0.022515831515192986
2008-09-22,0.5271989330649376,2.0,1,0.6505091190338135,0.22618070244789124,0.12331018596887589
2008-09-28,-0.8041583001613617,1.0,1,0.07230690121650696,0.051227860152721405,0.8764652013778687
2008-09-29,-0.6430543214082718,2.0,1,0.15581558644771576,0.04531446844339371,0.7988699078559875
2008-09-30,-0.9322100458666682,1.0,1,0.014582556672394276,0.0386248454451561,0.9467926025390625
2008-10-06,-0.8234205730259418,3.0,1,0.023281943053007126,0.1300155520439148,0.846702516078949
2008-10-08,0.0840352326631546,2.0,1,0.22468313574790955,0.6346690058708191,0.14064790308475494
2008-10-15,-0.9130674712359905,2.0,2,0.024314630776643753,0.038303238339722157,0.9373821020126343
2008-11-05,-0.9550066376104951,1.0,1,0.009157619439065456,0.026678141206502914,0.9641642570495605
2008-11-06,-0.9314060416072607,1.0,1,0.01995793916285038,0.028678130358457565,0.9513639807701111
2008-11-12,-0.7966220509260893,2.0,1,0.030726181343197823,0.1419256329536438,0.8273482322692871
2008-11-19,-0.9629977284930646,3.0,1,0.007345682475715876,0.022310970351099968,0.9703434109687805
2008-11-20,-0.1828254498541355,2.0,2,0.31218937039375305,0.19279581680893898,0.49501482024788857
2008-11-25,0.36123621463775635,2.0,1,0.6608311533927917,0.03957391902804375,0.2995949387550354
2008-12-02,-0.6606569588184357,1.0,1,0.15196099877357483,0.03542112559080124,0.8126179575920105
2008-12-07,-0.37073968164622784,2.0,1,0.02932758815586567,0.5706050992012024,0.4000672698020935
