date,sent_demand_7d,news_demand_7d,nonews_demand_7d,sent_supply_7d,news_supply_7d,nonews_supply_7d,sent_geopolitical_7d,news_geopolitical_7d,nonews_geopolitical_7d,sent_financial_7d,news_financial_7d,nonews_financial_7d
2007-10-17,0.0,0.0,1,0.0,0.0,1,-0.021009585820138454,3.0,0,-0.0071175787597894,1.0,0
2007-10-18,0.0,0.0,1,0.0,0.0,1,-0.021009585820138454,3.0,0,-0.0071175787597894,1.0,0
2007-10-19,0.0,0.0,1,0.0,0.0,1,-0.027955589350312983,2.0,0,0.0,0.0,1
2007-10-20,0.0,0.0,1,0.0,0.0,1,0.7942008739337325,1.0,0,0.0,0.0,1
2007-10-21,0.0,0.0,1,0.0,0.0,1,0.7942008739337325,1.0,0,0.0,0.0,1
2007-10-22,0.0,0.0,1,0.0,0.0,1,0.7942008739337325,1.0,0,0.0,0.0,1
2007-10-23,0.6347429640591145,1.0,0,0.0,0.0,1,0.6347429640591145,1.0,0,0.6347429640591145,1.0,0
2007-10-24,0.6347429640591145,1.0,0,0.0,0.0,1,0.29119425266981125,2.0,0,0.6347429640591145,1.0,0
2007-10-25,0.6347429640591145,1.0,0,0.0,0.0,1,0.29119425266981125,2.0,0,0.6347429640591145,1.0,0
2007-10-26,0.6347429640591145,1.0,0,0.0,0.0,1,0.23262693174183366,3.0,0,0.6347429640591145,1.0,0
2007-10-27,0.6347429640591145,1.0,0,0.0,0.0,1,0.23262693174183366,3.0,0,0.6347429640591145,1.0,0
2007-10-28,0.6347429640591145,1.0,0,0.0,0.0,1,0.23262693174183366,3.0,0,0.6347429640591145,1.0,0
2007-10-29,0.6347429640591145,1.0,0,0.0,0.0,1,0.23262693174183366,3.0,0,0.6347429640591145,1.0,0
2007-10-30,0.8491070372983813,1.0,0,0.0,0.0,1,0.015986368680993693,3.0,0,0.0,0.0,1
2007-10-31,0.8491070372983813,1.0,0,0.0,0.0,1,0.05015678238123649,2.0,0,0.0,0.0,1
2007-11-01,0.4961537919007242,2.0,0,0.143200546503067,1.0,0,0.08117137042184665,3.0,0,0.143200546503067,1.0,0
2007-11-02,0.4961537919007242,2.0,0,0.143200546503067,1.0,0,0.05071913637220856,3.0,0,0.143200546503067,1.0,0
2007-11-03,0.4961537919007242,2.0,0,0.143200546503067,1.0,0,0.05071913637220856,3.0,0,0.143200546503067,1.0,0
2007-11-04,0.4961537919007242,2.0,0,0.143200546503067,1.0,0,0.05071913637220856,3.0,0,0.143200546503067,1.0,0
2007-11-05,0.4961537919007242,2.0,0,0.143200546503067,1.0,0,0.0491860690526664,4.0,0,0.09389370679855344,2.0,0
2007-11-06,0.143200546503067,1.0,0,0.143200546503067,1.0,0,-0.17679503792896872,4.0,0,0.09389370679855344,2.0,0
2007-11-07,0.143200546503067,1.0,0,0.143200546503067,1.0,0,-0.24310668297111993,5.0,0,-0.10685528318087262,3.0,0
2007-11-08,0.0,0.0,1,0.0,0.0,1,-0.33968349033966666,4.0,0,-0.2318831980228424,2.0,0
2007-11-09,0.0,0.0,1,0.0,0.0,1,-0.4973740178781252,6.0,0,-0.47130474510292214,3.0,0
2007-11-10,0.0,0.0,1,0.0,0.0,1,-0.4973740178781252,6.0,0,-0.47130474510292214,3.0,0
2007-11-11,0.0,0.0,1,0.0,0.0,1,-0.4973740178781252,6.0,0,-0.47130474510292214,3.0,0
2007-11-12,0.0,0.0,1,0.0,0.0,1,-0.49441001672918605,6.0,0,-0.7292505512014031,2.0,0
2007-11-13,0.0,0.0,1,0.0,0.0,1,-0.3528456379555995,5.0,0,-0.7292505512014031,2.0,0
2007-11-14,0.0,0.0,1,0.0,0.0,1,-0.08063177940332233,6.0,0,-0.9501478392630816,1.0,0
2007-11-15,-0.9101717611774802,1.0,0,0.0635028835386037,1.0,0,-0.044598113667840826,7.0,0,-0.9501478392630816,1.0,0
2007-11-16,-0.9101717611774802,1.0,0,0.0635028835386037,1.0,0,0.14274468924850214,4.0,0,0.0,0.0,1
2007-11-17,-0.9101717611774802,1.0,0,0.0635028835386037,1.0,0,0.14274468924850214,4.0,0,0.0,0.0,1
2007-11-18,-0.9101717611774802,1.0,0,0.0635028835386037,1.0,0,0.14274468924850214,4.0,0,0.0,0.0,1
2007-11-19,-0.9101717611774802,1.0,0,0.0635028835386037,1.0,0,0.04867299056301505,4.0,0,0.0,0.0,1
2007-11-20,-0.9101717611774802,1.0,0,0.02232334483414885,2.0,0,0.04867299056301505,4.0,0,0.0,0.0,1
2007-11-21,-0.9101717611774802,1.0,0,0.02232334483414885,2.0,0,0.0026048415650923216,3.0,0,0.0,0.0,1
2007-11-22,0.0,0.0,1,-0.018856193870306,1.0,0,-0.027844179421663368,2.0,0,0.0,0.0,1
2007-11-23,0.0,0.0,1,-0.018856193870306,1.0,0,0.11663875232140215,3.0,0,0.0,0.0,1
2007-11-24,0.0,0.0,1,-0.018856193870306,1.0,0,0.11663875232140215,3.0,0,0.0,0.0,1
2007-11-25,0.0,0.0,1,-0.018856193870306,1.0,0,0.11663875232140215,3.0,0,0.0,0.0,1
2007-11-26,0.0,0.0,1,-0.018856193870306,1.0,0,0.2878442406654357,2.0,0,0.0,0.0,1
2007-11-27,0.0,0.0,1,0.0,0.0,1,0.2505951312681038,3.0,0,0.1760969124734401,1.0,0
2007-11-28,0.0,0.0,1,0.0,0.0,1,0.02565172438820192,3.0,0,0.1760969124734401,1.0,0
2007-11-29,0.0,0.0,1,0.0,0.0,1,0.02565172438820192,3.0,0,0.1760969124734401,1.0,0
2007-11-30,0.0,0.0,1,0.0,0.0,1,-0.1643247213214637,2.0,0,0.1760969124734401,1.0,0
2007-12-01,0.0,0.0,1,0.0,0.0,1,-0.1643247213214637,2.0,0,0.1760969124734401,1.0,0
2007-12-02,0.9039307981729507,1.0,0,0.0,0.0,1,-0.1643247213214637,2.0,0,0.1760969124734401,1.0,0
2007-12-03,0.9039307981729507,1.0,0,0.0,0.0,1,-0.1643247213214637,2.0,0,0.1760969124734401,1.0,0
2007-12-04,0.3295292966067791,2.0,0,0.0,0.0,1,-0.5047463551163673,1.0,0,0.0,0.0,1
2007-12-05,0.3295292966067791,2.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-12-06,0.40797418045500916,3.0,0,0.0,0.0,1,0.5648639481514692,1.0,0,-0.0607879692688584,2.0,0
2007-12-07,0.25743929063901305,4.0,0,0.0,0.0,1,0.18534928467124695,2.0,0,-0.1274766740389168,3.0,0
2007-12-08,0.25743929063901305,4.0,0,0.0,0.0,1,0.18534928467124695,2.0,0,-0.1274766740389168,3.0,0
